"point1x","point1y","point2x","point2y","Classification"
819.39442,895.62304,839.39442,915.62304,9
871.19969,762.96879,891.19969,782.96879,9
880.04573,850.57331,900.04573,870.57331,9
657.45877,594.18414,677.45877,614.18414,9
775.45539,801.19426,795.45539,821.19426,9
742.73228,922.95857,762.73228,942.95857,9
754.34117,677.19705,774.34117,697.19705,9
773.7125,779.99585,793.7125,799.99585,9
562.27224,592.01727,582.27224,612.01727,9
892.2832,910.9905,912.2832,930.9905,9
501.126,836.44024,521.126,856.44024,9
775.48079,912.43625,795.48079,932.43625,9
627.20884,835.16223,647.20884,855.16223,9
668.06214,679.50075,688.06214,699.50075,9
918.15809,605.29345,938.15809,625.29345,9
641.59336,926.70484,661.59336,946.70484,9
756.15644,703.90107,776.15644,723.90107,9
813.39716,547.67892,833.39716,567.67892,9
647.91646,625.4371,667.91646,645.4371,9
938.76921,867.85072,958.76921,887.85072,9
610.90128,695.74359,630.90128,715.74359,9
918.15046,872.05258,938.15046,892.05258,9
700.66929,614.09345,720.66929,634.09345,9
810.04001,919.6132,830.04001,939.6132,9
824.92299,706.54405,844.92299,726.54405,9
535.24906,983.80697,555.24906,1003.80697,9
865.95411,871.92372,885.95411,891.92372,9
815.4173,806.83609,835.4173,826.83609,9
745.56176,813.14038,765.56176,833.14038,9
637.93286,717.57217,657.93286,737.57217,9
610.60871,712.55667,630.60871,732.55667,9
754.77169,531.39733,774.77169,551.39733,9
622.93774,849.15562,642.93774,869.15562,9
868.20041,703.90067,888.20041,723.90067,9
942.04939,699.70316,962.04939,719.70316,9
956.09455,901.40426,976.09455,921.40426,9
819.25362,615.37582,839.25362,635.37582,9
598.32468,932.31916,618.32468,952.31916,9
834.63805,719.1952,854.63805,739.1952,9
988.94712,612.09909,1008.94712,632.09909,9
605.15076,701.38089,625.15076,721.38089,9
519.97447,785.80792,539.97447,805.80792,9
806.99381,900.78498,826.99381,920.78498,9
981.28979,721.29555,1001.28979,741.29555,9
831.24727,559.91157,851.24727,579.91157,9
628.9847,739.87201,648.9847,759.87201,9
575.82689,746.51809,595.82689,766.51809,9
899.10122,840.7776,919.10122,860.7776,9
989.99199,655.58963,1009.99199,675.58963,9
549.3776,900.64925,569.3776,920.64925,9
646.25296,786.85445,666.25296,806.85445,9
681.31563,530.39042,701.31563,550.39042,9
904.69903,923.27558,924.69903,943.27558,9
524.69232,988.94289,544.69232,1008.94289,9
801.7772,891.12589,821.7772,911.12589,9
622.75167,877.43551,642.75167,897.43551,9
578.60026,620.47663,598.60026,640.47663,9
597.6426,733.46654,617.6426,753.46654,9
872.45703,732.50665,892.45703,752.50665,9
837.18494,718.0269,857.18494,738.0269,9
813.94006,879.38506,833.94006,899.38506,9
712.53949,777.25771,732.53949,797.25771,9
947.015,737.04833,967.015,757.04833,9
920.07067,617.50927,940.07067,637.50927,9
796.38422,664.71592,816.38422,684.71592,9
505.79046,591.89923,525.79046,611.89923,9
675.18041,544.27271,695.18041,564.27271,9
912.02535,869.6271,932.02535,889.6271,9
525.17473,765.11181,545.17473,785.11181,9
696.22172,692.06876,716.22172,712.06876,9
628.33778,699.56727,648.33778,719.56727,9
878.18945,862.91775,898.18945,882.91775,9
552.62254,987.78911,572.62254,1007.78911,9
894.10453,798.46048,914.10453,818.46048,9
744.83024,904.85223,764.83024,924.85223,9
959.60701,669.82832,979.60701,689.82832,9
892.04846,651.75441,912.04846,671.75441,9
778.56384,569.96175,798.56384,589.96175,9
583.5342,919.09207,603.5342,939.09207,9
535.89277,805.04254,555.89277,825.04254,9
795.83978,958.58441,815.83978,978.58441,9
636.68216,828.08261,656.68216,848.08261,9
748.78751,787.90557,768.78751,807.90557,9
